date	amikacin	amoxicillin_clavulanicacid	ampicillin	ampicillin_sulbactum	cefaperazone_sulbactum	cefexime	cefotaxime	cefoxitin	ceftazidime	ceftazidime_clavalunicacid	ceftriaxone	chloramphenicol	ciprofloxacin	colistin	cotrimoxazole	ertapenem	erythromycin	gentamicin_highlevel	imipenem	levofloxacin	linezolid	meropenem	netilmicin	nitrofurantoin	penicillin	piperacillin_tazobactum	rifampicin	teicoplanin	tetracycline	ticarcillin_clavulanicacid	tigecycline	vancomycin
2014-12-31	15.0	27.77777777777778			73.33333333333333		7.142857142857142	50.0	14.285714285714285	0.0		33.33333333333333	20.0	100.0	25.0		0.0		14.285714285714285		100.0	14.285714285714285	38.88888888888889		0.0	13.333333333333334		100.0				100.0
2015-01-31	22.22222222222222	20.0			88.88888888888889		0.0		11.11111111111111			0.0	33.33333333333333	100.0					44.44444444444444			44.44444444444444	0.0			22.22222222222222						
2015-02-28	25.0	0.0			58.333333333333336		0.0		8.333333333333332			0.0	18.181818181818183	100.0					41.66666666666667	0.0		41.66666666666667	0.0			33.33333333333333						
2015-03-31	14.285714285714285	10.0			76.92307692307693		0.0	100.0	7.6923076923076925			100.0	16.666666666666664	100.0	100.0		0.0		0.0		100.0	7.6923076923076925	20.0		0.0	16.666666666666664		100.0			100.0	100.0
2015-04-30	27.27272727272727	0.0	0.0		90.9090909090909		0.0		25.0		0.0		25.0	100.0					33.33333333333333			27.27272727272727	0.0			33.33333333333333						
2015-05-31	40.0	14.285714285714285			66.66666666666666		0.0	100.0	11.11111111111111			0.0	20.0	100.0	100.0				44.44444444444444		100.0	37.5	33.33333333333333		100.0	22.22222222222222		100.0				100.0
2015-06-30	44.44444444444444	40.0			42.857142857142854		0.0	100.0	26.666666666666668				50.0	100.0	50.0		66.66666666666666		38.46153846153847	0.0	100.0	38.46153846153847	60.0	0.0	33.33333333333333	26.666666666666668		100.0				100.0
2015-07-31	55.55555555555556	50.0			50.0		20.0	100.0	50.0				30.0	100.0	100.0		50.0	0.0	62.5		100.0	62.5	66.66666666666666		0.0	50.0		50.0				50.0
2015-08-31	20.0	12.5			90.0		25.0		40.0			0.0	50.0	100.0			100.0	100.0	33.33333333333333		100.0	40.0	50.0	100.0	0.0	40.0		100.0	100.0			100.0
2015-09-30	25.0	9.090909090909092			73.33333333333333		0.0	100.0	21.428571428571427			0.0	18.75	100.0	100.0		0.0		7.142857142857142	0.0	100.0	6.666666666666667	12.5	0.0	0.0	26.666666666666668		100.0			100.0	100.0
2015-10-31	20.0	0.0			60.0		0.0		30.0		0.0		28.57142857142857	100.0				0.0	0.0		100.0	10.0	0.0	0.0		30.0		100.0	0.0			100.0
2015-11-30	8.333333333333332	16.666666666666664			75.0		28.57142857142857		25.0				15.384615384615385	100.0			0.0	0.0	22.22222222222222	0.0	100.0	41.66666666666667	33.33333333333333		100.0	41.66666666666667		100.0	0.0			50.0
2015-12-31	50.0	33.33333333333333			100.0		50.0	0.0	44.44444444444444				50.0	100.0	100.0		0.0	0.0	42.857142857142854		100.0	55.55555555555556	100.0	100.0	25.0	77.77777777777779		50.0				50.0
2016-01-31	35.0	30.0			78.94736842105263		18.181818181818183	0.0	36.84210526315789				45.0	100.0	100.0		0.0		21.052631578947366		100.0	15.789473684210526	33.33333333333333	100.0	0.0	26.31578947368421		100.0			0.0	100.0
2016-02-29	58.333333333333336	75.0			90.9090909090909		50.0	100.0	50.0				54.54545454545454	100.0	100.0		0.0		50.0		100.0	54.54545454545454	75.0		100.0	54.54545454545454		100.0				100.0
2016-03-31	33.33333333333333	50.0			71.42857142857143		0.0	100.0	14.285714285714285				22.22222222222222	100.0	100.0				14.285714285714285		100.0	14.285714285714285	100.0	100.0	50.0	14.285714285714285		66.66666666666666				100.0
2016-04-30	25.0	0.0			72.72727272727273		0.0	100.0	0.0				9.090909090909092	100.0	100.0		0.0		27.27272727272727		100.0	0.0	40.0		100.0	9.090909090909092		100.0			100.0	100.0
2016-05-31	43.75	25.0			68.75	0.0	18.181818181818183	100.0	25.0				43.75	100.0	100.0				43.75		100.0	42.857142857142854	44.44444444444444	50.0	0.0	37.5		100.0				100.0
2016-06-30	54.54545454545454	9.090909090909092			45.0		22.22222222222222	100.0	26.31578947368421			100.0	34.78260869565217	100.0	50.0	0.0	0.0	0.0	16.666666666666664		100.0	22.22222222222222	33.33333333333333	100.0	0.0	45.0		100.0			100.0	100.0
2016-07-31	34.78260869565217	44.44444444444444			33.33333333333333		10.0	100.0	15.0				22.727272727272727	100.0	0.0		0.0		0.0		100.0	0.0	55.55555555555556		0.0	42.857142857142854		100.0			100.0	100.0
